X,logFC,AveExpr,t,P.Value,adj.P.Val,B
LGALS4,0.656421148,7.794310389,2.640295099,0.01461189,0.155042588,-3.370448694
NPNT,0.902340695,7.86469974,2.601993961,0.019231923,0.176351984,-3.379540076
PSAP,-0.602611373,11.19283679,-2.634774004,0.014794647,0.155977345,-3.381758191
HNRNPK,-0.452847099,11.11616585,-2.625068855,0.015121115,0.158744996,-3.401608332
PCBP1,-0.35608744,10.48008413,-2.621172542,0.015254074,0.159576948,-3.40956672
WNK3,0.649863125,5.831920375,2.603874985,0.016965154,0.168011574,-3.414101942
RHOC,-0.40430805,10.73995499,-2.617460479,0.015381764,0.160348144,-3.417142978
PACSIN3,-0.364625038,7.886623464,-2.612812792,0.015543052,0.161462961,-3.42662084
PLEKHF1,0.597300545,7.248364521,2.609443576,0.015660963,0.162046155,-3.433485991
SEPTIN5,-0.549382329,6.323858625,-2.595032981,0.0168817,0.167744249,-3.437884701
GSTA4,-0.496469596,9.280749509,-2.606445614,0.015766585,0.162046155,-3.439590725
COL14A1,-0.890829578,7.73340828,-2.606190493,0.015775604,0.162046155,-3.440110056
DCTN4,0.397855483,8.364263292,2.604672934,0.015829353,0.162046155,-3.443198673
RPL28,0.657392481,9.99181307,2.603474914,0.015871905,0.162046155,-3.445636272
RPL27A,0.491219296,13.07807567,2.601805207,0.015931391,0.162096443,-3.449032614
KRR1,0.590550736,6.653385344,2.568467752,0.019909076,0.180591446,-3.453437192
CENPV,0.579897257,7.60730837,2.594283689,0.016201951,0.164286674,-3.464317702
AQP1,-1.790450122,6.843935742,-2.539412933,0.024630658,0.198852405,-3.466054951
GSS,-0.443568908,8.451601405,-2.591243476,0.016312528,0.164725304,-3.470489264
LAMC1,-0.757914462,10.58282236,-2.590050869,0.016356097,0.164725304,-3.47290917
NCALD,-0.411269741,7.52056641,-2.582932771,0.016618415,0.166240108,-3.487340015
PTRH2,-0.411686361,7.149950493,-2.573999266,0.017297023,0.16924946,-3.493877575
ARSA,-0.615472509,8.869720926,-2.578383362,0.016788128,0.167374251,-3.496552065
RAB23,-0.504837365,7.084765648,-2.563966028,0.018067562,0.171157549,-3.499427397
ACTR1B,0.407172575,9.024701842,2.569931353,0.017107734,0.168489568,-3.513643202
AK2,-0.562446659,6.607057241,-2.558447869,0.017900676,0.171006136,-3.524954514
SH3KBP1,-0.502968011,7.492790669,-2.563524446,0.017353785,0.16924946,-3.526578629
ECH1,-0.448883657,6.91266758,-2.562976369,0.017374987,0.16924946,-3.527684375
APP,1.333004428,6.513023349,2.533503583,0.02023228,0.18166464,-3.535375898
TONSL,1.169735059,8.822245652,2.529635169,0.020947542,0.184674025,-3.535618643
EIF4B,-0.661079587,5.247307335,-2.5443594,0.018855751,0.175612652,-3.538073997
PCBP2,-0.442866394,10.45761367,-2.55749014,0.017588547,0.170213598,-3.538745753
SCRIB,-0.528253702,6.782063325,-2.545952435,0.018790527,0.175612652,-3.539898009
ADPRH,1.153521781,7.032227142,2.516107006,0.021546986,0.188838039,-3.547282727
ARCN1,-0.346828587,9.508864955,-2.550764563,0.017853696,0.171006136,-3.552288298
HTRA1,0.550271037,12.0010165,2.549690765,0.017896373,0.171006136,-3.554448683
HHIPL1,0.569156915,9.890329214,2.544864834,0.018089354,0.171157549,-3.564151882
SLC16A1,-0.598016548,6.128336256,-2.542093734,0.018201041,0.171667596,-3.569719007
AHSG,-0.853012751,11.35039696,-2.539175373,0.018319359,0.172236754,-3.575578381
PLA2G2A,1.631611297,8.407347255,2.531638175,0.018987852,0.175739467,-3.578295229
SPARC,-0.854647083,7.135397019,-2.51866754,0.019937393,0.180591446,-3.588483982
STK19,0.516461786,6.461996677,2.492879415,0.02261412,0.191414677,-3.590841723
